00:1A:13:4B:BC:7C;2016-10-07T17:20:00Z;2016-10-07T18:14:00Z;2016-10-07T18:14:00Z;2016-10-07T18:14:00Z;2016-10-07T18:14:00Z
00:1F:E1:9A:E6:79;2016-10-07T08:09:00Z;2016-10-07T08:09:00Z;2016-10-07T08:20:00Z;2016-10-07T08:20:00Z;2016-10-07T08:20:00Z
00:21:19:8F:13:7E;2016-10-07T13:41:00Z;2016-10-07T14:20:00Z;2016-10-07T14:20:00Z;2016-10-07T14:20:00Z;2016-10-07T14:20:00Z
00:23:14:35:DC:9C;2016-10-07T10:04:00Z;2016-10-07T10:29:00Z;2016-10-07T10:29:00Z;2016-10-07T10:29:00Z;2016-10-07T10:29:00Z
00:25:22:3C:D4:A7;2016-10-07T20:52:00Z;2016-10-07T21:15:00Z;2016-10-07T21:15:00Z;2016-10-07T21:15:00Z;2016-10-07T21:15:00Z
00:26:18:08:2B:13;2016-10-07T10:34:00Z;2016-10-07T10:46:00Z;2016-10-07T10:46:00Z;2016-10-07T10:46:00Z;2016-10-07T10:46:00Z
00:26:18:08:2B:13;2016-10-07T14:49:00Z;2016-10-07T15:15:00Z;2016-10-07T15:15:00Z;2016-10-07T15:15:00Z;2016-10-07T15:15:00Z
00:34:DA:54:BC:50;2016-10-07T10:39:00Z;2016-10-07T10:57:00Z;2016-10-07T11:00:00Z;2016-10-07T11:00:00Z;2016-10-07T11:00:00Z
00:34:DA:56:A7:BC;2016-10-07T13:32:00Z;2016-10-07T14:54:00Z;2016-10-07T14:54:00Z;2016-10-07T14:54:00Z;2016-10-07T14:54:00Z
00:73:8D:2E:30:DB;2016-10-07T10:31:00Z;2016-10-07T10:54:00Z;2016-10-07T10:54:00Z;2016-10-07T10:54:00Z;2016-10-07T10:54:00Z
00:73:E0:8C:64:93;2016-10-07T14:33:00Z;2016-10-07T14:33:00Z;2016-10-07T15:24:00Z;2016-10-07T15:24:00Z;2016-10-07T15:24:00Z
00:90:4C:C5:12:38;2016-10-07T09:18:00Z;2016-10-07T10:01:00Z;2016-10-07T10:01:00Z;2016-10-07T10:01:00Z;2016-10-07T10:01:00Z
00:90:A2:C3:24:38;2016-10-07T13:39:00Z;2016-10-07T14:54:00Z;2016-10-07T14:54:00Z;2016-10-07T14:54:00Z;2016-10-07T14:54:00Z
00:AE:FA:74:44:F3;2016-10-07T22:52:00Z;2016-10-07T23:50:00Z;2016-10-07T23:50:00Z;2016-10-07T23:50:00Z;2016-10-07T23:50:00Z
00:AE:FA:CE:BD:06;2016-10-07T12:19:00Z;2016-10-07T12:48:00Z;2016-10-07T12:48:00Z;2016-10-07T12:48:00Z;2016-10-07T12:48:00Z
00:AE:FA:D1:99:FC;2016-10-07T07:49:00Z;2016-10-07T08:06:00Z;2016-10-07T08:06:00Z;2016-10-07T08:06:00Z;2016-10-07T08:06:00Z
00:AE:FA:E1:0A:24;2016-10-07T13:33:00Z;2016-10-07T13:33:00Z;2016-10-07T13:51:00Z;2016-10-07T13:51:00Z;2016-10-07T13:51:00Z
00:E0:4C:86:89:4E;2016-10-07T22:13:00Z;2016-10-07T23:30:00Z;2016-10-07T23:30:00Z;2016-10-07T23:30:00Z;2016-10-07T23:30:00Z
00:F8:1C:3B:B1:4B;2016-10-07T10:22:00Z;2016-10-07T10:40:00Z;2016-10-07T10:40:00Z;2016-10-07T10:40:00Z;2016-10-07T10:40:00Z
02:08:22:29:11:4B;2016-10-07T14:10:00Z;2016-10-07T14:10:00Z;2016-10-07T15:29:00Z;2016-10-07T15:29:00Z;2016-10-07T15:29:00Z
02:6A:F8:DF:A1:E1;2016-10-07T15:00:00Z;2016-10-07T15:00:00Z;2016-10-07T15:06:00Z;2016-10-07T15:06:00Z;2016-10-07T15:06:00Z
02:6C:AC:46:3F:65;2016-10-07T05:32:00Z;2016-10-07T06:32:00Z;2016-10-07T06:32:00Z;2016-10-07T06:32:00Z;2016-10-07T06:32:00Z
02:9C:C8:B4:C6:23;2016-10-07T12:31:00Z;2016-10-07T12:37:00Z;2016-10-07T12:37:00Z;2016-10-07T12:37:00Z;2016-10-07T12:37:00Z
04:02:1F:21:51:BD;2016-10-07T13:01:00Z;2016-10-07T13:24:00Z;2016-10-07T13:24:00Z;2016-10-07T13:24:00Z;2016-10-07T13:24:00Z
04:02:1F:2E:0E:7C;2016-10-07T09:17:00Z;2016-10-07T09:28:00Z;2016-10-07T09:28:00Z;2016-10-07T09:28:00Z;2016-10-07T09:28:00Z
04:02:1F:C1:FE:CE;2016-10-07T15:06:00Z;2016-10-07T15:30:00Z;2016-10-07T15:30:00Z;2016-10-07T15:30:00Z;2016-10-07T15:30:00Z
04:48:9A:BC:41:93;2016-10-07T14:05:00Z;2016-10-07T15:54:00Z;2016-10-07T15:54:00Z;2016-10-07T15:54:00Z;2016-10-07T15:54:00Z
04:54:53:A2:EC:55;2016-10-07T15:09:00Z;2016-10-07T15:10:00Z;2016-10-07T15:34:00Z;2016-10-07T15:41:00Z;2016-10-07T16:13:00Z
04:DB:56:58:2A:EF;2016-10-07T12:28:00Z;2016-10-07T14:02:00Z;2016-10-07T14:02:00Z;2016-10-07T14:02:00Z;2016-10-07T14:02:00Z
08:21:EF:67:24:95;2016-10-07T15:29:00Z;2016-10-07T15:29:00Z;2016-10-07T15:55:00Z;2016-10-07T16:00:00Z;2016-10-07T16:57:00Z
08:EC:A9:7E:90:0A;2016-10-07T14:55:00Z;2016-10-07T15:04:00Z;2016-10-07T15:04:00Z;2016-10-07T15:04:00Z;2016-10-07T15:04:00Z
08:EE:8B:58:A4:B1;2016-10-07T14:20:00Z;2016-10-07T14:20:00Z;2016-10-07T15:25:00Z;2016-10-07T15:25:00Z;2016-10-07T15:25:00Z
08:EE:8B:A5:84:6F;2016-10-07T08:43:00Z;2016-10-07T09:19:00Z;2016-10-07T09:19:00Z;2016-10-07T09:19:00Z;2016-10-07T09:19:00Z
0A:16:F3:5E:50:92;2016-10-07T14:05:00Z;2016-10-07T14:05:00Z;2016-10-07T14:13:00Z;2016-10-07T14:13:00Z;2016-10-07T14:13:00Z
0A:C6:B9:7E:34:07;2016-10-07T15:10:00Z;2016-10-07T15:10:00Z;2016-10-07T15:18:00Z;2016-10-07T15:18:00Z;2016-10-07T15:18:00Z
